Marital_status,Application_order,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Educational_special_needs,Age_at_enrollment,International,Unemployment_rate,Inflation_rate,GDP,Status,total_approved_units,total_enrolled_units,total_evaluations,total_grade,approval_ratio,avg_grade,Application_mode_2,Application_mode_5,Application_mode_7,Application_mode_10,Application_mode_15,Application_mode_16,Application_mode_17,Application_mode_18,Application_mode_26,Application_mode_27,Application_mode_39,Application_mode_42,Application_mode_43,Application_mode_44,Application_mode_51,Application_mode_53,Application_mode_57,Course_171,Course_8014,Course_9003,Course_9070,Course_9085,Course_9119,Course_9130,Course_9147,Course_9238,Course_9254,Course_9500,Course_9556,Course_9670,Course_9773,Course_9853,Course_9991,Nacionality_2,Nacionality_6,Nacionality_11,Nacionality_13,Nacionality_14,Nacionality_17,Nacionality_21,Nacionality_22,Nacionality_24,Nacionality_25,Nacionality_26,Nacionality_32,Nacionality_41,Nacionality_62,Nacionality_100,Nacionality_101,Nacionality_103,Nacionality_105,Nacionality_108,Nacionality_109,Gender_1,Displaced_1,Debtor_1,Tuition_fees_up_to_date_1,Scholarship_holder_1
1,5,1,1,122.0,19,12,5,9,127.3,0,20,0,10.8,1.4,1.74,1,0,0,0,0.0,0.8571428571428571,1.42364417989418,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
1,1,1,1,160.0,1,3,3,3,142.5,0,19,0,13.9,-0.3,0.79,0,12,12,12,27.666666666666664,1.0,2.3055555555555554,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1,5,1,1,122.0,37,37,9,9,124.8,0,19,0,10.8,1.4,1.74,1,0,12,0,0.0,0.0,1.42364417989418,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1,2,1,1,122.0,38,37,5,3,119.6,0,20,0,9.4,-0.8,-3.12,0,11,12,18,25.82857142857143,0.9166666666666666,1.434920634920635,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
2,1,0,1,100.0,37,38,9,9,141.5,0,45,0,13.9,-0.3,0.79,0,11,12,15,25.333333333333336,0.9166666666666666,1.688888888888889,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1,0,19,133.1,37,37,9,7,114.8,0,50,0,16.2,0.3,-0.92,0,10,10,27,23.357142857142858,1.0,0.8650793650793651,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
1,1,1,1,142.0,19,38,7,10,128.4,0,18,0,15.5,2.8,-4.06,0,15,15,17,27.645000000000003,1.0,1.6261764705882356,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
1,4,1,1,119.0,37,37,9,9,113.1,0,22,0,15.5,2.8,-4.06,1,0,10,10,0.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1,3,1,1,137.0,1,1,9,9,129.3,0,21,1,16.2,0.3,-0.92,0,12,12,15,28.017857142857142,1.0,1.8678571428571429,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
1,1,1,1,138.0,1,19,4,7,123.0,0,18,0,8.9,1.4,3.51,1,7,12,23,24.9,0.5833333333333334,1.0826086956521739,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
1,1,1,1,139.0,38,19,5,7,130.6,0,18,0,13.9,-0.3,0.79,0,11,12,13,26.53333333333333,0.9166666666666666,2.041025641025641,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,1,1,1,136.0,19,38,9,9,119.3,0,18,0,12.7,3.7,-1.7,0,14,16,16,26.428571428571427,0.875,1.6517857142857142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
