,mean_abs_shap_value
approval_ratio,1.5733916547843796
Tuition_fees_up_to_date_1,0.508692777244526
total_approved_units,0.48772844979751323
total_grade,0.42151130359304106
Age_at_enrollment,0.3761234722367295
Displaced_1,0.3352385014144658
Unemployment_rate,0.3346276941724615
total_evaluations,0.29189578118162646
Admission_grade,0.28746629820461445
Gender_1,0.26347835051787255
Mothers_occupation,0.2633764928592487
Debtor_1,0.24645445784917944
GDP,0.24237231468734396
Scholarship_holder_1,0.20863268146555713
Previous_qualification_grade,0.20847511062380625
Fathers_occupation,0.20417363524446827
avg_grade,0.19838148376507103
Mothers_qualification,0.19594305711161958
Inflation_rate,0.16384012355249547
Application_mode_17,0.14026012811440589
total_enrolled_units,0.13526590888293885
Fathers_qualification,0.13234358871370455
Course_9254,0.12401850899596738
Course_9773,0.10800957850404337
Course_9670,0.10065997249108419
Course_9853,0.09470749212924783
Course_9130,0.09073439201462281
Course_9500,0.08962378396085423
Course_9991,0.07974637763400558
Application_mode_39,0.0735611527237126
Application_order,0.06733356627616317
Course_9147,0.06726025622420867
Marital_status,0.052681819150140106
Application_mode_18,0.04373521678778737
Previous_qualification,0.03410726402185712
Course_9085,0.033182223429712665
Application_mode_7,0.02798132226215725
Course_9238,0.0250128873929876
Application_mode_43,0.015309413930532745
Course_9556,0.014189946124498512
Daytime_evening_attendance,0.014172952039759223
Course_9119,0.013115013093942801
Course_171,0.012905678096689063
International,0.011830275931805996
Application_mode_42,0.011059709789270898
Nacionality_41,0.009734610060051002
Course_8014,0.00930062911082792
Course_9003,0.0080272932417512
Application_mode_51,0.0072573187739014755
Course_9070,0.004905530855838355
Application_mode_16,0.0029034457010990522
Application_mode_44,0.00240668218753348
Educational_special_needs,0.0008245272396900559
Application_mode_10,0.0
Application_mode_26,0.0
Application_mode_27,0.0
Application_mode_53,0.0
Application_mode_57,0.0
Application_mode_5,0.0
Application_mode_2,0.0
Application_mode_15,0.0
Nacionality_11,0.0
Nacionality_6,0.0
Nacionality_2,0.0
Nacionality_24,0.0
Nacionality_22,0.0
Nacionality_21,0.0
Nacionality_17,0.0
Nacionality_14,0.0
Nacionality_13,0.0
Nacionality_26,0.0
Nacionality_25,0.0
Nacionality_103,0.0
Nacionality_101,0.0
Nacionality_100,0.0
Nacionality_62,0.0
Nacionality_32,0.0
Nacionality_109,0.0
Nacionality_105,0.0
Nacionality_108,0.0
